ture,toa,pred,aod,class,inf
0.1788125,0.16386,0.20055851,-0.008457374,12.0,0.1788125
0.2586175,0.2351,0.2892681,0.11118506,12.0,0.2586175
0.2709375,0.24512,0.29591188,0.106365226,10.0,0.2709375
0.1997125,0.18242,0.21997084,0.041046172,12.0,0.1997125
0.2957975,0.26824,0.33142185,0.000951093,12.0,0.2957975
0.35209,0.31828,0.38050893,-0.058414392,12.0,0.35209
0.36397,0.32634,0.39814377,0.0018702501,10.0,0.36397
0.194185,0.1798,0.21403363,-0.046709787,12.0,0.194185
0.279765,0.25272,0.30731964,-0.024064897,12.0,0.279765
0.16388,0.15412,0.18524204,-0.016908353,12.0,0.16388
0.210465,0.19506,0.23430592,-0.022464398,12.0,0.210465
0.37409,0.33566,0.40791768,-0.000691564,12.0,0.37409
0.1530725,0.1422,0.16764516,0.023446253,12.0,0.1530725
0.2340875,0.21318,0.2586465,-0.016050367,12.0,0.2340875
0.26618,0.24158,0.29770938,-0.02242224,12.0,0.26618
0.194515,0.178,0.21231021,0.013876873,12.0,0.194515
0.319585,0.28904,0.35644376,-0.0045167003,12.0,0.319585
0.15849,0.14722,0.17456679,-0.022733567,12.0,0.15849
0.2359575,0.21374,0.2586465,-0.014904391,12.0,0.2359575
0.30611,0.27682,0.3362348,-0.0045167003,12.0,0.30611
0.2774825,0.25204,0.3062828,-0.006331611,10.0,0.2774825
0.25485,0.23156,0.28113404,-0.02421694,12.0,0.25485
0.2725875,0.2467,0.30215362,0.16566764,10.0,0.2725875
0.1827175,0.16996,0.20415913,-0.052325673,10.0,0.1827175
0.3059175,0.27562,0.33115053,-0.010419403,10.0,0.3059175
0.167455,0.15482,0.18569328,0.0069709835,12.0,0.167455
0.1342625,0.12674,0.15262291,-0.024756225,10.0,0.1342625
0.099915,0.09604,0.10926228,-0.03154832,10.0,0.099915
0.2182475,0.20052,0.24346104,-0.052457556,10.0,0.2182475
0.1370675,0.1286,0.15469301,-0.008756903,12.0,0.1370675
0.17895,0.16372,0.19776829,-0.051244754,12.0,0.17895
0.18698,0.1736,0.20959729,0.12442264,10.0,0.18698
0.371175,0.33316,0.40791768,0.0018702501,12.0,0.371175
0.1722125,0.16016,0.19349727,-0.01204962,12.0,0.1722125
0.17697,0.165,0.19807184,-0.051679563,12.0,0.17697
0.1746875,0.16054,0.1967404,0.126559,12.0,0.1746875
0.153925,0.14292,0.16900904,0.023446253,10.0,0.153925
0.29775,0.26902,0.32970187,-0.013215243,12.0,0.29775
0.374695,0.33764,0.40175292,0.009170819,12.0,0.374695
0.187805,0.17132,0.2086148,0.030188054,12.0,0.187805
0.1411375,0.1326,0.16027386,-0.0029316896,12.0,0.1411375
0.2450875,0.22242,0.26709607,-0.018713515,10.0,0.2450875
0.3783525,0.33916,0.41269365,-0.010419403,9.0,0.3783525
0.1587375,0.14748,0.1755742,-0.038732886,10.0,0.1587375
0.2399725,0.21762,0.26240876,0.034616552,10.0,0.2399725
0.2820475,0.25522,0.30717647,0.029955272,10.0,0.2820475
0.2471225,0.22488,0.27285826,-0.014361219,12.0,0.2471225
0.159205,0.1474,0.17464843,-0.0092026675,10.0,0.159205
0.1737525,0.1596,0.19351996,-0.038732886,12.0,0.1737525
0.1871175,0.17184,0.2086148,0.039776716,12.0,0.1871175
0.243685,0.22082,0.26899806,0.03359855,12.0,0.243685
0.2410725,0.21864,0.26012614,-0.03957216,10.0,0.2410725
0.34923,0.31352,0.3830258,-0.0061593573,12.0,0.34923
0.2993725,0.27004,0.32733303,-0.0035976437,12.0,0.2993725
0.142925,0.13414,0.16220312,-0.0029316896,12.0,0.142925
